filtered text,label
virginamerica why cant you supp the biz traveler like southwestair and have customer service like jetblue neverflyvirginforbusiness,NEGATIVE
virginamerica ive applied more then once to be a member of the inflight crew teamim interested flightattendant dreampath g,POSITIVE
virginamerica youre the best whenever i begrudgingly use any other airline im delayed and late flight,NEGATIVE
virginamerica i have no interesting flying with you after this i will cancelled flight my next four flights i plannedneverflyvirginforbusiness,NEGATIVE
virginamerica it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin,NEGATIVE
virginamerica im having trouble adding this flight my wife booked to my elevate account help httptcopxhqoksr,NEGATIVE
virginamerica cant bring up my reservation online using flight booking problems code,NEUTRAL
virginamerica random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share httptcoaptzpurop,NEUTRAL
virginamerica i lt flying va but life happens and i am trying to change my trip jperhi can you helpva home page will not let me,NEUTRAL
virginamerica why is the site down when will it be back up,NEGATIVE
virginamerica you down with rnp yeah you know me,NEUTRAL
virginamerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,NEUTRAL
virginamerica i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday,NEGATIVE
virginamerica just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin,NEGATIVE
virginamerica why is flight redirected,NEUTRAL
virginamerica is it me or is your website down btw your new website isnt a great user experience time for another redesign,NEGATIVE
virginamerica i cant check in or add a bag your website isnt working ive tried both desktop and mobile httptcoavyqdmpiy,NEGATIVE
virginamerica let scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable,NEGATIVE
virginamerica what is your phone number i cant find who to call about a flight reservation,NEGATIVE
virginamerica is anyone doing anything there today website is useless and no one is answering the phone,NEGATIVE
virginamerica trying to add my boy prince to my ressie sf this thursday virginamerica from lax httptcogsbjcgm,NEUTRAL
virginamerica why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business sfolax,NEGATIVE
virginamerica check out new music httptcomarcnocwzn,NEUTRAL
virginamerica hows a direct flight fllgtsfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight sneaky,NEGATIVE
virginamerica your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp,NEGATIVE
virginamerica amazing customer service again raeann in sf shes the best customerservice virginamerica flying,POSITIVE
virginamerica called your service line and was hung up on this is awesome sarcasm,NEGATIVE
virginamerica your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info,NEGATIVE
virginamerica i was scheduled for sfo dal flight today changed to th due weather looks like flight still on,NEUTRAL
virginamerica has getaway deals through may from oneway lots of cool cities httptcotzzjhuibch cheapflights farecompare,POSITIVE
virginamerica has getaway deals through may from oneway lots of cool cities httptcorpdbpxwnd cheapflights farecompare,NEUTRAL
virginamerica has getaway deals through may from oneway lots of cool cities httptcobxiygt cheapflights farecompare,POSITIVE
virginamerica has getaway deals through may from oneway lots of cool cities httptcoqdljhsloi cheapflights farecompare,NEUTRAL
virginamerica have a great week,POSITIVE
virginamerica come back to phl already we need you to take us out of this horrible cold pleasecomeback httptcoglxfwpnqh,POSITIVE
virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop,NEGATIVE
virginamerica is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience,POSITIVE
virginamerica and again another rep kicked butt naelah represents your team so beautifully thank you,POSITIVE
virginamerica your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure,POSITIVE
virginamerica love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,POSITIVE
virginamerica use another browser amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website,NEGATIVE
virginamerica and now the flight flight booking problems site is totally down folks what is the problem,NEGATIVE
virginamerica i like the customer service but a min delay just for connecting passengers seems too long va,NEGATIVE
virginamerica thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight,POSITIVE
virginamerica you have the absolute best team and customer service ever every time i fly with you im delighted thank you,POSITIVE
virginamerica do you provide complimentary upgrades to first class if there are available seats,NEUTRAL
virginamerica i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help,NEGATIVE
virginamerica completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue,POSITIVE
virginamerica how can i watch the oscars on my jfkgtsfo flight,NEUTRAL
virginamerica is flight cancelled flightled and what do i do if it is,NEUTRAL
virginamerica you are failing your customers because your check in process does not link to tsa precheck,NEGATIVE
virginamerica fidifamilies us too terrible airline just gave us a hotel hotline number and said sorry,NEGATIVE
virginamerica has flight number from sfo to cabo san lucas arrived yet,NEUTRAL
virginamerica chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you,NEGATIVE
virginamerica another delayed flight likingyoulessandless,NEGATIVE
virginamerica i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise,NEGATIVE
virginamerica you rock for making it so i can watch oscars on my flight redcarpet oscars oscars,POSITIVE
virginamerica reallytallchris dropped a track on you httpstcozvpttrk,NEUTRAL
virginamerica always xoxo,POSITIVE
virginamerica why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated,NEGATIVE
virginamerica youd think paying an extra bucks rt for luggage might afford you hiring an extra hand at sfo lame,NEGATIVE
virginamerica best customer service rep in the world irmafromdallas takes the cake,POSITIVE
virginamerica can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service,NEUTRAL
virginamerica please provide status for flight i cant imagine its on time as the web indicates dude to weather here andor dallas,NEGATIVE
virginamerica you have amazing staff amp super helpful as i just ran the waltdisneyworld princesshalf they have spoiled me with comfort,POSITIVE
virginamerica i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face,NEGATIVE
virginamerica question is it not possible to book a seat for an infant under its not giving me the option but we want a seat for him,NEGATIVE
always have it together youre welcome rt virginamerica jessicajaymes youre so welcome,POSITIVE
virginamerica flight home to dc sunset globe in backtowinter back to work refreshed httptcovxvbctdlf,POSITIVE
virginamerica i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy,NEGATIVE
virginamerica does that mean you dont have a policy for destroyed luggage,NEGATIVE
virginamerica is there special assistance if i travel alone w kids and infant priority boarding,NEUTRAL
virginamerica thank you for checking in tickets are purchased and customer is happy,POSITIVE
virginamerica is your website ever coming back online,NEUTRAL
virginamerica is flight from love field to sfo definitely cancelled flightled for monday february,NEUTRAL
virginamerica is flight out of lga to dfw on time,NEUTRAL
virginamerica my drivers license is expired by a little over a month can i fly friday morning using my expired license,NEUTRAL
virginamerica having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait,NEGATIVE
virginamerica how do i reschedule my cancelled flightled flights online the change button is greyed out,NEGATIVE
virginamerica i rang but there is a wait for minutes i can book the same ticket through a vendor fix your site,NEGATIVE
virginamerica got a flight we were told for todaychecked my email and its for tomorrow this is unacceptable,NEGATIVE
virginamerica our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today,NEGATIVE
virginamerica why dont any of the pairings include red wine only white is offered redwineisbetter,NEGATIVE
virginamerica is the website down,NEGATIVE
virginamerica your site seems a little wonked right now may want to have a look tried on two browsers no css httptcoqsqmmkf,NEGATIVE
virginamerica im disappointed that the agent at the designated silver status check in line dullesairport closed to assist all pasengers,NEGATIVE
virginamerica plans to include austin to its dallas route topnews arab emirates httptcoaqzwecokk,NEUTRAL
virginamerica is it normal to receive no reply from central baggage baggageissues smh,NEGATIVE
virginamerica at logan airport and waiting to checkin for my am flight checkin desk not open why,NEGATIVE
virginamerica to jump into the dallasaustin market dallasnews httptcoewwgigdx,NEUTRAL
virginamerica beats eps views takes on southwestair va luv investors business daily httptcoflwmgdahxu,NEUTRAL
virginamerica lister to my show my on monday,NEUTRAL
virginamerica to begin dallasaustin flights in april ketr httptcossuvwwkyhh,NEUTRAL
virginamerica congrats you just got all my business from ewr to sfolax fuck you united fl sfoewr was the clincher,NEGATIVE
virginamerica i applied over weeks ago havent heard back and im flying this week disappointed,NEGATIVE
virginamerica id love to know what your policy is for damaged luggage,NEUTRAL
virginamerica thank you for the follow,POSITIVE
virginamerica too many apologies you r the worse airlines dont even respond to your cudtomers,NEGATIVE
virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,NEGATIVE
virginamerica ttinac i dm you,NEUTRAL
virginamerica can you please have flights in sjc i have no choice but to fly southwest to vegas,NEUTRAL
virginamerica too bad you say it takes to days via your confirmation email when i inquired after weeks you claim to weeks,NEGATIVE
virginamerica flight from bos gt las tomorrow was cancelled flightled no notification wait times are hour will you rebook on another airline,NEGATIVE
rt virginamerica youve met your match got status on another airline upgrade restr httptcorhkamxvf httptcopyalebgkjt,POSITIVE
virginamerica only way to fly elevate gold,POSITIVE
virginamerica if only you guys had flights from cmh,NEUTRAL
virginamerica a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever,NEGATIVE
virginamerica for all my flight stuff wrong and did nothing about it had worst flight ever,NEGATIVE
virginamerica having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,NEUTRAL
virginamerica you will match my americanairlines status cool,POSITIVE
virginamericayouve met your matchgot status on another airline upgrade httptcohrdktqy asarcoesar,NEUTRAL
virginamerica trying to book a flight with you guys and your website wont let me about to lose my business,NEGATIVE
virginamerica you suck,NEGATIVE
virginamerica thanks,POSITIVE
virginamerica just dmd same issue persisting,NEGATIVE
virginamerica because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids,NEGATIVE
virginamerica trying to book a flight amp your site is down,NEGATIVE
virginamerica you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything,NEGATIVE
virginamerica you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better,NEGATIVE
virginamerica i love your guys song were dancing to it for our high school dance revue,POSITIVE
virginamerica your website is down and im trying to check in,NEGATIVE
virginamerica done thank you for the quick response apparently faster than sitting on hold,POSITIVE
virginamerica nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me,NEUTRAL
virginamerica cool picture of another virginamerica plane off our wing what a site httptcobagfdc,POSITIVE
virginamerica keep up the great work,POSITIVE
virginamerica my goodness your people love field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,POSITIVE
virginamerica thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously,POSITIVE
virginamerica can you please get me to the new york area before monday afternoon,NEUTRAL
virginamerica thanks so much for the awesome support you guys rock,POSITIVE
virginamerica seats in row dont recline should mention that on your website soreback,NEGATIVE
virginamerica flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us a free drink,NEGATIVE
virginamerica why cancelled flight flights today no precipitation to be scared of,NEGATIVE
virginamerica twitter team you guys killed it for rescheduling me asap thank you,POSITIVE
virginamerica you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal,NEGATIVE
virginamerica cant access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook,NEGATIVE
virginamerica on ipad and iphone clicking the checkin link in the email i received at hrs before flight,NEUTRAL
virginamerica your mobile site is broken shows headerelevateusernumofpointsavailable number points wont let me checkin,NEGATIVE
virginamerica i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,NEGATIVE
virginamerica why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule,NEGATIVE
virginamerica i did it but there was a problem in the link from the email for checkin thanks,NEGATIVE
virginamerica had to change to another airline to get to dc today why is united able to land in dc but not you cost me ugh,NEGATIVE
virginamerica i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one,NEGATIVE
virginamerica when are you putting some great deals from pdx to las or from las to pdx show me your love httptcoeniqgbuzj,POSITIVE
virginamerica wish i can afford to fly with you next friday going back home love everything about your airline,POSITIVE
virginamerica how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,NEGATIVE
virginamerica its just a bug report guys,NEUTRAL
virginamerica hold times at call center are a bit much,NEGATIVE
virginamerica like httptcovpqemxuq,POSITIVE
virginamerica site down help,NEGATIVE
virginamerica you have the best flight attendant ever httptcopxdelnql,POSITIVE
awesome rt virginamerica watch nominated films at feet meetthefleet oscars httptcodnstitrzwy,POSITIVE
virginamerica thanks so much,POSITIVE
virginamerica trying to reset my password email never arrives help,NEGATIVE
virginamerica the only airline based in silicon valley disruption fcmostinnovative incubator fastcompanys httptcowulbcncr,POSITIVE
virginamerica very nicely done,POSITIVE
virginamerica im looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink,POSITIVE
virginamerica what is the reason for the delay of the departure of vx from jfk this afternoon,NEGATIVE
virginamerica is todays flight from palm springs ca to jfk in ny cancelled flightled,NEGATIVE
virginamerica hahaha virginamerica you guys are amazing i love you guys,POSITIVE
virginamerica sounds like fun,POSITIVE
virginamerica any updates on flight from jfk gt lax,NEUTRAL
virginamerica spruce moose,NEUTRAL
virginamerica the css on your site is a right now please fix site unusable,NEGATIVE
virginamerica were on flight vegas to boston today checked in online but our bag count didnt register can i fix that somehow,NEGATIVE
virginamerica classiq luv virgin america greetingz,POSITIVE
virginamerica hi im trying to do checkin but the website is not working i tried different browsers and the problem continues,NEGATIVE
virginamerica thanks for your great customer service today amp for helping me get all my travel sorted out,POSITIVE
virginamerica thanks guys sweet route over the rockies airplanemodewason,POSITIVE
virginamerica love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee,POSITIVE
virginamerica the passenger in d flt that assaulted me shouldnt have flown i trust hes banned crew filed report to faanews,NEGATIVE
virginamerica current bug on website shows select departure city when selecting destination city httptcosllyibevq,NEGATIVE
virginamerica luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help,NEGATIVE
virginamerica thank you for the easy itinerary shift for impending weather quick painless amp free,POSITIVE
virginamerica if youd love to see more girls be inspired to become pilots rt our free woaw event march at abq httptcorfxlvkgdh,NEUTRAL
virginamerica thanks good times there and back vodkatonics the entire flightsfo,POSITIVE
virginamerica beats expectations shares take off santa cruz sentinel httptcoqmdqbaig,NEUTRAL
virginamerica any plans to start flying direct from dal to las,NEUTRAL
virginamerica big lovegratitudempower w httptcoagrkncpf werin oscars vipswagbags avalonhollywood httptcoybmbgsdhn,NEUTRAL
virginamerica youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up,POSITIVE
virginamerica requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member,NEGATIVE
virginamerica grand budapest hotel oscarscountdown,NEUTRAL
virginamerica this is what you missed newsvp next trip to the,NEUTRAL
virginamerica wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,NEGATIVE
virginamerica there is something wrong with you website in safari iphone,NEGATIVE
virginamerica thanks for gate checking my baggage on your full flight dfwlax and giving me early boarding too sweet,POSITIVE
virginamerica already checked in so the page expired x,NEGATIVE
virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place,NEGATIVE
virginamerica shares rise on q financial results usa today httptcolfspefey,NEUTRAL
virginamerica adds pillows instead of lieflat seats in first class arms race httptcorgywjbbhm,NEUTRAL
virginamerica i see what you did there,POSITIVE
virginamerica way to take advantage of mayweatherpacquiao,NEUTRAL
virginamerica you know im flying virgin for the fight mayweatherpacquiao,NEUTRAL
virginamerica your inflight team makes the experience amazing,POSITIVE
virginamerica cutest salt and pepper shaker ever just when i think you guys cant get any better you just do httptcovckeulgj,POSITIVE
virginamerica moved my seat with no notice better seat is cabin select not behind the row i selected disappointed,NEGATIVE
virginamerica shares up on q results iol httptcoxzqegnef,NEUTRAL
virginamerica fav airline,POSITIVE
virginamerica we have a hot female pilot sweet dca to sfo,POSITIVE
when are you guys going to start flying to paris virginamerica lizautter youre welcome,NEUTRAL
virginamerica what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor,NEUTRAL
virginamerica already contacted central baggage amp sent dm renttherunway is charging me for the dress that was in the lost suitcase help,NEGATIVE
virginamerica thank you,POSITIVE
virginamerica is there anything going on with the website ive been getting a lot of errors past minutes,NEGATIVE
virginamerica i think i left something on the plane yesterday who do i callah,NEUTRAL
virginamerica i need you to follow back in order to dm,NEUTRAL
virginamerica need to start flying to kciairport,NEUTRAL
virginamerica they told to check with the airline regulation first so that is why i contacted you,NEUTRAL
virginamerica virginatlantic i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits,NEGATIVE
virginamerica husband and i ordered three drinks via my screen and they never came awesome,NEGATIVE
virginamerica soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence,NEGATIVE
virginamerica what is your policy on flying after surgery,NEUTRAL
virginamerica posts second consecutive fullyear net profit atwonline httptcotvbzbzvhg,NEUTRAL
virginamerica funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this,NEGATIVE
virginamerica would love to do more for virgin just like i do for gopro,POSITIVE
virginamerica results handily exceed forecasts nytimes httptcogonmrwemi,NEUTRAL
virginamerica i applied for a position in flylaxairport and i was wondering if you guys received my application,NEUTRAL
virginamerica achieves a second year of profitability despite revenue pressure capaaviation httptcozsuztnaijq,NEUTRAL
virginamerica gives positive outlook but sees increased competition reuters httptcojeuodeyj,NEUTRAL
virginamerica im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos,NEGATIVE
virginamerica weather delays gt next few weeks jfk bos dca,NEUTRAL
virginamerica madbee check the website before you go to the airport,NEUTRAL
virginamerica do you guys know your checkin links from emails are broken httptconpxbobmr,NEGATIVE
virginamerica pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about degrees amp wthe windchill,NEUTRAL
virginamerica loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry,POSITIVE
virginamerica lost my luggage days ago on flight vx from lax to iad amp im calling every day no responseplease give me back my stuff,NEGATIVE
virginamerica the flight booking problems section of your website seems to be broken on chrome might wanna look into that,NEGATIVE
virginamerica hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more,POSITIVE
virginamerica i mean probably inappropriate while on board but its on,POSITIVE
virginamerica happy to spend the day together lets do this,POSITIVE
virginamerica is saving my sanity right now httptcoeltboljul,NEUTRAL
virginamerica missed my flight how does standby work,NEUTRAL
virginamerica they were very understanding and helped me out thx comps,POSITIVE
virginamerica brought it all the way across the country today i see httptcotkauygcpms,NEUTRAL
virginamerica thank you i absolutely will,POSITIVE
virginamerica looks like a broken link for your assets httpstcooardjjgrrd,NEGATIVE
virginamerica are you ready lets say it together noooo turbulence today,NEUTRAL
virginamerica the manage itinerary section of your website seems to be broken for me httpstcopujvcelng,NEGATIVE
virginamerica cant check in your site looks like this every time it loads httptcokacyawdbw,NEGATIVE
virginamerica can u help this freyabevanfund needs urgent treatment iny old battling cancer could u help with flights freyasfund,NEUTRAL
virginamerica may start service to hawaii from sanfrancisco this year httptcoyponyprzl biztravel,NEUTRAL
virginamerica other carriers are less than half price for a round trip fare i am stunned httptcoukdjjijrow,NEGATIVE
virginamerica wtf is happening in pdx late flight march such that one way from sfo is,NEGATIVE
virginamerica add dtw and im sold,NEUTRAL
virginamerica how about some free drinks on the flight back for the free promo,POSITIVE
virginamerica ssal thanks,POSITIVE
virginamerica momma i made it,NEUTRAL
virginamerica please contact me about portfolio left on flight vx from jfk to sfo tonite seat am need it returned call,NEUTRAL
virginamerica help i was on flight from jkf tonight seat c left portfolio need it back,NEUTRAL
virginamerica shrinerack seattle bound wifey got me the duffle for vday shes a keeper holla httptcojloiblnair,NEUTRAL
virginamerica my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage,NEGATIVE
virginamerica debbie baldwin gave a rockstar performance of the safety demo this evening on vx lassfo bestcrew sherocks,NEUTRAL
virginamerica thanks,POSITIVE
virginamerica thanks for taking care of suuperg on her flight rockstars travel,POSITIVE
virginamerica thanks for the lovely soft views travel san to sfo httptcocnctlgef,POSITIVE
virginamerica i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this,NEGATIVE
virginamerica just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying,NEGATIVE
virginamerica many thanks for the follow ourprincess freyasfund usa bandie looking for any help httptcoujfszikd,NEUTRAL
virginamerica nice lofty view flylaxairport silverstatus httptcoftpdawbd,NEUTRAL
virginamerica applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly,NEGATIVE
virginamerica is my new go to airline,NEUTRAL
virginamerica virginatlantic gma americanair can you help ourprincess in need of some help in usa httptcoaztdaer,NEUTRAL
virginamerica i adore you and am so looking forward to my flight to austin in two weeks,POSITIVE
virginamerica i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,POSITIVE
virginamerica flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica,NEUTRAL
virginamerica trying to checkinbut looks like your site is down,NEGATIVE
virginamerica spending my birthday night with you daldca get me home,NEGATIVE
virginamerica sent a couple messages to the email you provided but to no avail will try again next year cheers,NEGATIVE
virginamerica first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline,POSITIVE
virginamerica seriously though will there not be direct flights from sfofll in may,NEGATIVE
virginamerica its fine already done with my purchase but you should try it just go most of the way through then go back,NEGATIVE
virginamerica not really the experience i was hoping i ws forced check in a small carry on w nothing but empty cabin space on board,NEGATIVE
virginamerica wjere is our luggage so slow at lax,NEGATIVE
virginamerica to jump into the dallas austin market httptcoszrpioa,NEUTRAL
virginamerica i spoke with a representative that offered no solution i am a loyal customer who flies on virginatlantic as well,NEGATIVE
virginamerica i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,NEGATIVE
virginamerica what happened to direct flights from sfofll looking in may only see connecting help dontdothistome,NEGATIVE
virginamerica can you help left my blazer in kooples jacket bag at rd row second seat from right gate t lax flight to sfo,NEUTRAL
